,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
541,"Austin, TX 78759 (Arboretum area)",MaxPoint,Review code and model designs of other Data Scientists. Senior Data Scientist – Signal Processing. Design large scale data pipelines that transforms raw signal...,9bb47efed7c42413,Senior Data Scientist - Signal Processing,,,,30+ days,2016-10-17 21:26:39.609516
542,"Austin, TX",Amazon Corporate LLC,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...",d9ecca02146d8138,"Senior Software Engineer, Big Data",,43.2,9618,30+ days,2016-10-17 21:26:39.609516
543,"Austin, TX",Clinical Pathology Laboratories,Bachelor’s degree in laboratory science from an accredited school of Medical Technology with at least one year experience in clinical lab....,d54ac5f5b805e570,Customer Service Supervisor - Medical Laboratory Scientist,,,,30+ days,2016-10-17 21:26:39.609516
544,"Austin, TX 78731",Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",8c275d98e49722f4,Product Marketing Manager,,53.4,132,30+ days,2016-10-17 21:26:39.609516
545,"Austin, TX 78703",Deverus,"Proficiency working with SQL databases, best practices and tools for object-relational mapping, data caching, and making sure application persistence performs...",0289c207d4750f88,Senior Java Developer,,,,30+ days,2016-10-17 21:26:39.609516
546,"Austin, TX",University of Texas at Austin,Participate in project development activities with minimal guidance from senior engineering scientists and project managers....,a635c09d1a4b5053,Senior Systems Administrator - Project Specific Linux and So...,"$5,500 - $7,500 a month",53.4,403,30+ days,2016-10-17 21:26:39.609516
547,"Kyle, TX",Seton Healthcare Family,Certification as a Medical Laboratory Scientist (General) by the American Society for Clinical Pathology (ASCP) Board of Certification (BOC) or Medical...,f8b3be9962839156,Medical Lab Scientist III / Seton Medical Ctr Hays / Blood B...,,40.8,41,24 days,2016-10-17 21:26:39.609516
548,"Austin, TX",Thermo Fisher Scientific,"Master’s degree or higher in biochemistry, chemical engineering, biotechnology, molecular biology or chemistry and 3 years of related experience Experience with...",b479a1e61c357a99,"Scientist III, Molecular Biology",,42.6,981,30+ days,2016-10-17 21:26:39.609516
549,"Austin, TX",HomeAway,Working with Data Scientists and Economists to productize transactional data. Data driven decision making and multivariate testing to drive conversion through...,fbf924d0bc15f7fb,"Senior Director Product Management, Marketplace Services",,52.199997,49,30+ days,2016-10-17 21:26:39.609516
550,"Austin, TX","Magic Leap, Inc.","Run experiments and collect data, under the supervision of Senior Scientists and Engineers. Magic Leap is an eclectic group of visionaries, rocket scientists,...",8c1ae86268a28d01,Senior Optical Metrology Technician,,54.0,2,30+ days,2016-10-17 21:26:39.609516
551,"Austin, TX 78759 (Arboretum area)",MaxPoint,Review code and model designs of other Data Scientists. Senior Data Scientist – Signal Processing. Design large scale data pipelines that transforms raw signal...,9bb47efed7c42413,Senior Data Scientist - Signal Processing,,,,30+ days,2016-10-17 21:26:39.609516
552,"Austin, TX",Amazon Corporate LLC,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...",d9ecca02146d8138,"Senior Software Engineer, Big Data",,43.2,9618,30+ days,2016-10-17 21:26:39.609516
553,"Austin, TX",Clinical Pathology Laboratories,Bachelor’s degree in laboratory science from an accredited school of Medical Technology with at least one year experience in clinical lab....,d54ac5f5b805e570,Customer Service Supervisor - Medical Laboratory Scientist,,,,30+ days,2016-10-17 21:26:39.609516
554,"Austin, TX 78731",Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",8c275d98e49722f4,Product Marketing Manager,,53.4,132,30+ days,2016-10-17 21:26:39.609516
555,"Austin, TX 78703",Deverus,"Proficiency working with SQL databases, best practices and tools for object-relational mapping, data caching, and making sure application persistence performs...",0289c207d4750f88,Senior Java Developer,,,,30+ days,2016-10-17 21:26:39.609516
556,"Austin, TX",University of Texas at Austin,Participate in project development activities with minimal guidance from senior engineering scientists and project managers....,a635c09d1a4b5053,Senior Systems Administrator - Project Specific Linux and So...,"$5,500 - $7,500 a month",53.4,403,30+ days,2016-10-17 21:26:39.609516
557,"Kyle, TX",Seton Healthcare Family,Certification as a Medical Laboratory Scientist (General) by the American Society for Clinical Pathology (ASCP) Board of Certification (BOC) or Medical...,f8b3be9962839156,Medical Lab Scientist III / Seton Medical Ctr Hays / Blood B...,,40.8,41,24 days,2016-10-17 21:26:39.609516
558,"Austin, TX",Thermo Fisher Scientific,"Master’s degree or higher in biochemistry, chemical engineering, biotechnology, molecular biology or chemistry and 3 years of related experience Experience with...",b479a1e61c357a99,"Scientist III, Molecular Biology",,42.6,981,30+ days,2016-10-17 21:26:39.609516
559,"Austin, TX",HomeAway,Working with Data Scientists and Economists to productize transactional data. Data driven decision making and multivariate testing to drive conversion through...,fbf924d0bc15f7fb,"Senior Director Product Management, Marketplace Services",,52.199997,49,30+ days,2016-10-17 21:26:39.609516
560,"Austin, TX","Magic Leap, Inc.","Run experiments and collect data, under the supervision of Senior Scientists and Engineers. Magic Leap is an eclectic group of visionaries, rocket scientists,...",8c1ae86268a28d01,Senior Optical Metrology Technician,,54.0,2,30+ days,2016-10-17 21:26:39.609516
561,"Austin, TX 78759 (Arboretum area)",MaxPoint,Review code and model designs of other Data Scientists. Senior Data Scientist – Signal Processing. Design large scale data pipelines that transforms raw signal...,9bb47efed7c42413,Senior Data Scientist - Signal Processing,,,,30+ days,2016-10-17 21:26:39.609516
562,"Austin, TX",Amazon Corporate LLC,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...",d9ecca02146d8138,"Senior Software Engineer, Big Data",,43.2,9618,30+ days,2016-10-17 21:26:39.609516
563,"Austin, TX",Clinical Pathology Laboratories,Bachelor’s degree in laboratory science from an accredited school of Medical Technology with at least one year experience in clinical lab....,d54ac5f5b805e570,Customer Service Supervisor - Medical Laboratory Scientist,,,,30+ days,2016-10-17 21:26:39.609516
564,"Austin, TX 78731",Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",8c275d98e49722f4,Product Marketing Manager,,53.4,132,30+ days,2016-10-17 21:26:39.609516
565,"Austin, TX 78703",Deverus,"Proficiency working with SQL databases, best practices and tools for object-relational mapping, data caching, and making sure application persistence performs...",0289c207d4750f88,Senior Java Developer,,,,30+ days,2016-10-17 21:26:39.609516
566,"Austin, TX",University of Texas at Austin,Participate in project development activities with minimal guidance from senior engineering scientists and project managers....,a635c09d1a4b5053,Senior Systems Administrator - Project Specific Linux and So...,"$5,500 - $7,500 a month",53.4,403,30+ days,2016-10-17 21:26:39.609516
567,"Kyle, TX",Seton Healthcare Family,Certification as a Medical Laboratory Scientist (General) by the American Society for Clinical Pathology (ASCP) Board of Certification (BOC) or Medical...,f8b3be9962839156,Medical Lab Scientist III / Seton Medical Ctr Hays / Blood B...,,40.8,41,24 days,2016-10-17 21:26:39.609516
568,"Austin, TX",Thermo Fisher Scientific,"Master’s degree or higher in biochemistry, chemical engineering, biotechnology, molecular biology or chemistry and 3 years of related experience Experience with...",b479a1e61c357a99,"Scientist III, Molecular Biology",,42.6,981,30+ days,2016-10-17 21:26:39.609516
569,"Austin, TX",HomeAway,Working with Data Scientists and Economists to productize transactional data. Data driven decision making and multivariate testing to drive conversion through...,fbf924d0bc15f7fb,"Senior Director Product Management, Marketplace Services",,52.199997,49,30+ days,2016-10-17 21:26:39.609516
570,"Austin, TX","Magic Leap, Inc.","Run experiments and collect data, under the supervision of Senior Scientists and Engineers. Magic Leap is an eclectic group of visionaries, rocket scientists,...",8c1ae86268a28d01,Senior Optical Metrology Technician,,54.0,2,30+ days,2016-10-17 21:26:39.609516
571,"Austin, TX 78759 (Arboretum area)",MaxPoint,Review code and model designs of other Data Scientists. Senior Data Scientist – Signal Processing. Design large scale data pipelines that transforms raw signal...,9bb47efed7c42413,Senior Data Scientist - Signal Processing,,,,30+ days,2016-10-17 21:26:39.609516
572,"Austin, TX",Amazon Corporate LLC,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...",d9ecca02146d8138,"Senior Software Engineer, Big Data",,43.2,9618,30+ days,2016-10-17 21:26:39.609516
573,"Austin, TX",Clinical Pathology Laboratories,Bachelor’s degree in laboratory science from an accredited school of Medical Technology with at least one year experience in clinical lab....,d54ac5f5b805e570,Customer Service Supervisor - Medical Laboratory Scientist,,,,30+ days,2016-10-17 21:26:39.609516
574,"Austin, TX 78731",Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",8c275d98e49722f4,Product Marketing Manager,,53.4,132,30+ days,2016-10-17 21:26:39.609516
575,"Austin, TX 78703",Deverus,"Proficiency working with SQL databases, best practices and tools for object-relational mapping, data caching, and making sure application persistence performs...",0289c207d4750f88,Senior Java Developer,,,,30+ days,2016-10-17 21:26:39.609516
576,"Austin, TX",University of Texas at Austin,Participate in project development activities with minimal guidance from senior engineering scientists and project managers....,a635c09d1a4b5053,Senior Systems Administrator - Project Specific Linux and So...,"$5,500 - $7,500 a month",53.4,403,30+ days,2016-10-17 21:26:39.609516
577,"Kyle, TX",Seton Healthcare Family,Certification as a Medical Laboratory Scientist (General) by the American Society for Clinical Pathology (ASCP) Board of Certification (BOC) or Medical...,f8b3be9962839156,Medical Lab Scientist III / Seton Medical Ctr Hays / Blood B...,,40.8,41,24 days,2016-10-17 21:26:39.609516
578,"Austin, TX",Thermo Fisher Scientific,"Master’s degree or higher in biochemistry, chemical engineering, biotechnology, molecular biology or chemistry and 3 years of related experience Experience with...",b479a1e61c357a99,"Scientist III, Molecular Biology",,42.6,981,30+ days,2016-10-17 21:26:39.609516
579,"Austin, TX",HomeAway,Working with Data Scientists and Economists to productize transactional data. Data driven decision making and multivariate testing to drive conversion through...,fbf924d0bc15f7fb,"Senior Director Product Management, Marketplace Services",,52.199997,49,30+ days,2016-10-17 21:26:39.609516
580,"Austin, TX","Magic Leap, Inc.","Run experiments and collect data, under the supervision of Senior Scientists and Engineers. Magic Leap is an eclectic group of visionaries, rocket scientists,...",8c1ae86268a28d01,Senior Optical Metrology Technician,,54.0,2,30+ days,2016-10-17 21:26:39.609516
581,"Austin, TX 78759 (Arboretum area)",MaxPoint,Review code and model designs of other Data Scientists. Senior Data Scientist – Signal Processing. Design large scale data pipelines that transforms raw signal...,9bb47efed7c42413,Senior Data Scientist - Signal Processing,,,,30+ days,2016-10-17 21:26:39.609516
582,"Austin, TX",Amazon Corporate LLC,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...",d9ecca02146d8138,"Senior Software Engineer, Big Data",,43.2,9618,30+ days,2016-10-17 21:26:39.609516
583,"Austin, TX",Clinical Pathology Laboratories,Bachelor’s degree in laboratory science from an accredited school of Medical Technology with at least one year experience in clinical lab....,d54ac5f5b805e570,Customer Service Supervisor - Medical Laboratory Scientist,,,,30+ days,2016-10-17 21:26:39.609516
584,"Austin, TX 78731",Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",8c275d98e49722f4,Product Marketing Manager,,53.4,132,30+ days,2016-10-17 21:26:39.609516
585,"Austin, TX 78703",Deverus,"Proficiency working with SQL databases, best practices and tools for object-relational mapping, data caching, and making sure application persistence performs...",0289c207d4750f88,Senior Java Developer,,,,30+ days,2016-10-17 21:26:39.609516
586,"Austin, TX",University of Texas at Austin,Participate in project development activities with minimal guidance from senior engineering scientists and project managers....,a635c09d1a4b5053,Senior Systems Administrator - Project Specific Linux and So...,"$5,500 - $7,500 a month",53.4,403,30+ days,2016-10-17 21:26:39.609516
587,"Kyle, TX",Seton Healthcare Family,Certification as a Medical Laboratory Scientist (General) by the American Society for Clinical Pathology (ASCP) Board of Certification (BOC) or Medical...,f8b3be9962839156,Medical Lab Scientist III / Seton Medical Ctr Hays / Blood B...,,40.8,41,24 days,2016-10-17 21:26:39.609516
588,"Austin, TX",Thermo Fisher Scientific,"Master’s degree or higher in biochemistry, chemical engineering, biotechnology, molecular biology or chemistry and 3 years of related experience Experience with...",b479a1e61c357a99,"Scientist III, Molecular Biology",,42.6,981,30+ days,2016-10-17 21:26:39.609516
589,"Austin, TX",HomeAway,Working with Data Scientists and Economists to productize transactional data. Data driven decision making and multivariate testing to drive conversion through...,fbf924d0bc15f7fb,"Senior Director Product Management, Marketplace Services",,52.199997,49,30+ days,2016-10-17 21:26:39.609516
590,"Austin, TX","Magic Leap, Inc.","Run experiments and collect data, under the supervision of Senior Scientists and Engineers. Magic Leap is an eclectic group of visionaries, rocket scientists,...",8c1ae86268a28d01,Senior Optical Metrology Technician,,54.0,2,30+ days,2016-10-17 21:26:39.609516
591,"Austin, TX 78759 (Arboretum area)",MaxPoint,Review code and model designs of other Data Scientists. Senior Data Scientist – Signal Processing. Design large scale data pipelines that transforms raw signal...,9bb47efed7c42413,Senior Data Scientist - Signal Processing,,,,30+ days,2016-10-17 21:26:39.609516
592,"Austin, TX",Amazon Corporate LLC,"You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams,...",d9ecca02146d8138,"Senior Software Engineer, Big Data",,43.2,9618,30+ days,2016-10-17 21:26:39.609516
593,"Austin, TX",Clinical Pathology Laboratories,Bachelor’s degree in laboratory science from an accredited school of Medical Technology with at least one year experience in clinical lab....,d54ac5f5b805e570,Customer Service Supervisor - Medical Laboratory Scientist,,,,30+ days,2016-10-17 21:26:39.609516
594,"Austin, TX 78731",Indeed,"Collaborate with product marketers, designers, data scientists and industry experts to produce relevant content that meets the needs of our employer audience....",8c275d98e49722f4,Product Marketing Manager,,53.4,132,30+ days,2016-10-17 21:26:39.609516
595,"Austin, TX 78703",Deverus,"Proficiency working with SQL databases, best practices and tools for object-relational mapping, data caching, and making sure application persistence performs...",0289c207d4750f88,Senior Java Developer,,,,30+ days,2016-10-17 21:26:39.609516
596,"Austin, TX",University of Texas at Austin,Participate in project development activities with minimal guidance from senior engineering scientists and project managers....,a635c09d1a4b5053,Senior Systems Administrator - Project Specific Linux and So...,"$5,500 - $7,500 a month",53.4,403,30+ days,2016-10-17 21:26:39.609516
597,"Kyle, TX",Seton Healthcare Family,Certification as a Medical Laboratory Scientist (General) by the American Society for Clinical Pathology (ASCP) Board of Certification (BOC) or Medical...,f8b3be9962839156,Medical Lab Scientist III / Seton Medical Ctr Hays / Blood B...,,40.8,41,24 days,2016-10-17 21:26:39.609516
